date,segment_id,conflict,fatalities,injuries,event_type,source,troop_movements,exercises,drone_activity,landmine_incidents,checkpoint_closures,article_count,sentiment_score,keyword_border,keyword_temple,trade_value,truck_crossings,migrant_flow,market_closures,displaced_persons,civilian_casualties,aid_deliveries
2024-01-07,PREAH_VIHEAR_TEMPLE,1,1,1,artillery,ngo,7,1,1,0,0,6,0.9079702975440738,1,0,105.74966921206178,59,10,0,1,1,1
2024-01-07,TA_MUEN_THOM_TEMPLE,0,0,0,none,military_report,5,0,2,0,0,3,1.1281539096944009,1,0,57.12046133759137,50,8,0,3,0,1
2024-01-07,TA_KRABEY_TEMPLE,0,0,0,none,military_report,2,1,1,0,0,4,0.6499070429021149,0,0,113.10090378120124,47,7,0,6,0,3
2024-01-07,OSMACH_CHECKPOINT,0,0,0,skirmish,none,5,1,4,1,0,2,0.258775080868511,1,0,79.44685535690576,42,12,0,4,0,1
2024-01-07,CHONG_CHOM_CHECKPOINT,0,0,0,skirmish,local_news,4,0,3,0,1,2,-1.2543441221110103,0,0,124.16540536415768,46,12,0,1,0,0
2024-01-07,ARANYAPRATHET_POIPET,0,0,0,border_incident,military_report,2,0,1,0,0,2,0.3109143765021805,0,0,104.30018234343784,56,8,0,1,0,0
2024-01-07,PHANOM_DONG_RAK_RIDGE,0,0,0,none,military_report,4,2,2,0,0,1,1.0691192698682606,0,0,67.2916700974709,70,9,0,2,0,0
2024-01-07,BAN_KRUAT,0,0,1,skirmish,local_news,4,1,2,1,1,3,0.9224624434375274,1,0,127.77074284999313,50,10,0,2,0,1
2024-01-07,KANTHARALAK,0,0,1,none,local_news,3,0,2,0,0,3,0.4700515990707673,0,0,116.71480614437738,58,8,0,5,0,0
2024-01-07,SAMRAONG,0,0,0,skirmish,military_report,6,0,1,0,0,3,-0.0589869512206992,1,0,112.77552147528772,59,10,0,6,0,1
2024-01-14,PREAH_VIHEAR_TEMPLE,0,0,1,border_incident,none,7,2,5,1,1,5,0.4542105716180286,0,0,85.8178500925217,50,10,0,4,0,2
2024-01-14,TA_MUEN_THOM_TEMPLE,0,0,0,artillery,none,5,1,3,1,0,3,-0.6552368240548481,0,0,121.32679503295506,37,12,0,5,0,3
2024-01-14,TA_KRABEY_TEMPLE,1,1,1,border_incident,military_report,5,3,2,1,0,3,0.3269985510247916,0,0,64.81318750566984,47,13,0,4,0,0
2024-01-14,OSMACH_CHECKPOINT,0,0,0,none,local_news,7,3,3,0,0,3,0.1185845550551706,1,0,88.96477009914882,42,13,0,2,0,0
2024-01-14,CHONG_CHOM_CHECKPOINT,0,0,0,skirmish,local_news,5,2,1,1,0,1,-1.665215894361857,0,0,69.64474174672343,41,10,0,3,0,3
2024-01-14,ARANYAPRATHET_POIPET,0,0,0,none,none,4,1,1,0,0,4,-1.212025837586764,0,0,108.93397936933935,53,12,0,3,0,1
2024-01-14,PHANOM_DONG_RAK_RIDGE,0,1,0,artillery,none,4,0,0,0,0,3,1.4527109626838492,0,0,124.08541670583504,63,5,0,2,0,1
2024-01-14,BAN_KRUAT,0,0,0,border_incident,local_news,8,0,1,1,0,8,0.7228401196466,0,0,94.3662805692959,52,8,0,1,1,1
2024-01-14,KANTHARALAK,0,0,0,skirmish,none,3,1,3,1,0,5,0.4650529397260339,0,0,117.63616767098397,59,11,0,3,0,1
2024-01-14,SAMRAONG,0,0,0,artillery,local_news,1,3,1,0,0,5,1.896071582119703,0,0,108.74937269048382,48,14,0,3,1,3
2024-01-21,PREAH_VIHEAR_TEMPLE,0,0,0,artillery,local_news,3,0,1,0,0,1,1.7903688125498085,0,0,87.3357951897687,53,13,0,5,0,0
2024-01-21,TA_MUEN_THOM_TEMPLE,0,0,0,artillery,ngo,4,1,1,0,0,1,0.2103875335779107,0,0,153.08531964611674,46,6,0,1,2,0
2024-01-21,TA_KRABEY_TEMPLE,1,0,0,border_incident,military_report,4,0,3,0,0,5,-0.1134688309513627,0,0,87.7855945155124,50,6,0,3,0,1
2024-01-21,OSMACH_CHECKPOINT,0,0,0,none,none,3,2,2,0,1,1,-0.8747050241506572,1,0,99.30412584881302,51,11,0,1,0,1
2024-01-21,CHONG_CHOM_CHECKPOINT,0,0,0,none,none,4,1,0,0,0,2,-1.8227274999167296,0,0,106.21688698372218,60,10,0,1,1,0
2024-01-21,ARANYAPRATHET_POIPET,1,0,0,skirmish,none,4,2,3,0,0,5,-2.419498603907605,0,0,71.96419010505845,53,6,0,4,2,1
2024-01-21,PHANOM_DONG_RAK_RIDGE,0,0,1,none,military_report,6,1,1,0,0,3,0.8516177168229447,1,0,95.54985788199475,41,10,0,2,0,0
