date,segment_id,trade_value,truck_crossings,migrant_flow,market_closures
2024-01-07,PREAH_VIHEAR_TEMPLE,105.74966921206178,59,10,0
2024-01-07,TA_MUEN_THOM_TEMPLE,57.12046133759137,50,8,0
2024-01-07,TA_KRABEY_TEMPLE,113.10090378120123,47,7,0
2024-01-07,OSMACH_CHECKPOINT,79.44685535690576,42,12,0
2024-01-07,CHONG_CHOM_CHECKPOINT,124.16540536415769,46,12,0
2024-01-07,ARANYAPRATHET_POIPET,104.30018234343783,56,8,0
2024-01-07,PHANOM_DONG_RAK_RIDGE,67.2916700974709,70,9,0
2024-01-07,BAN_KRUAT,127.77074284999313,50,10,0
2024-01-07,KANTHARALAK,116.71480614437738,58,8,0
2024-01-07,SAMRAONG,112.77552147528772,59,10,0
2024-01-14,PREAH_VIHEAR_TEMPLE,85.8178500925217,50,10,0
2024-01-14,TA_MUEN_THOM_TEMPLE,121.32679503295506,37,12,0
2024-01-14,TA_KRABEY_TEMPLE,64.81318750566984,47,13,0
2024-01-14,OSMACH_CHECKPOINT,88.96477009914882,42,13,0
2024-01-14,CHONG_CHOM_CHECKPOINT,69.64474174672343,41,10,0
2024-01-14,ARANYAPRATHET_POIPET,108.93397936933935,53,12,0
2024-01-14,PHANOM_DONG_RAK_RIDGE,124.08541670583504,63,5,0
2024-01-14,BAN_KRUAT,94.3662805692959,52,8,0
2024-01-14,KANTHARALAK,117.63616767098397,59,11,0
2024-01-14,SAMRAONG,108.74937269048382,48,14,0
2024-01-21,PREAH_VIHEAR_TEMPLE,87.3357951897687,53,13,0
2024-01-21,TA_MUEN_THOM_TEMPLE,153.08531964611674,46,6,0
2024-01-21,TA_KRABEY_TEMPLE,87.7855945155124,50,6,0
2024-01-21,OSMACH_CHECKPOINT,99.30412584881302,51,11,0
2024-01-21,CHONG_CHOM_CHECKPOINT,106.21688698372218,60,10,0
2024-01-21,ARANYAPRATHET_POIPET,71.96419010505845,53,6,0
2024-01-21,PHANOM_DONG_RAK_RIDGE,95.54985788199477,41,10,0
2024-01-21,BAN_KRUAT,100.3291239669469,51,13,0
2024-01-21,KANTHARALAK,124.55215327599781,46,10,0
2024-01-21,SAMRAONG,102.48707743620128,56,8,0
2024-01-28,PREAH_VIHEAR_TEMPLE,108.10568886836796,40,9,1
2024-01-28,TA_MUEN_THOM_TEMPLE,78.60652747646375,43,11,0
2024-01-28,TA_KRABEY_TEMPLE,67.94306395514482,41,6,0
2024-01-28,OSMACH_CHECKPOINT,99.72208402765992,41,14,0
2024-01-28,CHONG_CHOM_CHECKPOINT,96.35287815506993,48,7,0
2024-01-28,ARANYAPRATHET_POIPET,86.22530857998215,49,6,0
2024-01-28,PHANOM_DONG_RAK_RIDGE,120.59199562896285,44,10,0
2024-01-28,BAN_KRUAT,88.29898358857045,57,11,0
2024-01-28,KANTHARALAK,100.59458703624261,51,8,0
2024-01-28,SAMRAONG,112.4449185653124,57,9,0
2024-02-04,PREAH_VIHEAR_TEMPLE,106.10387826646121,47,7,0
2024-02-04,TA_MUEN_THOM_TEMPLE,107.35539057801364,56,8,0
2024-02-04,TA_KRABEY_TEMPLE,76.92371787840955,52,9,0
2024-02-04,OSMACH_CHECKPOINT,121.76753666645963,46,10,0
2024-02-04,CHONG_CHOM_CHECKPOINT,106.71772215458388,51,11,0
2024-02-04,ARANYAPRATHET_POIPET,107.10437014994051,64,9,0
2024-02-04,PHANOM_DONG_RAK_RIDGE,104.8416132741925,57,8,0
2024-02-04,BAN_KRUAT,79.91817349364122,58,8,1
2024-02-04,KANTHARALAK,93.0664595173255,40,11,0
2024-02-04,SAMRAONG,144.7089371315274,41,9,0
2024-02-11,PREAH_VIHEAR_TEMPLE,104.74558085986622,40,10,0
2024-02-11,TA_MUEN_THOM_TEMPLE,99.20473461747679,53,5,1
2024-02-11,TA_KRABEY_TEMPLE,89.99370627883096,45,7,0
2024-02-11,OSMACH_CHECKPOINT,92.51827105552432,50,6,0
2024-02-11,CHONG_CHOM_CHECKPOINT,87.30799648726527,35,8,0
2024-02-11,ARANYAPRATHET_POIPET,127.50315446389376,55,7,0
2024-02-11,PHANOM_DONG_RAK_RIDGE,109.37023520522824,51,8,0
2024-02-11,BAN_KRUAT,70.32494656008515,43,12,0
